ObservationTime,WindGustSpeed (Kilometres per hour)
2020-01-01 00:00:00+00:00,34.8
2020-01-01 01:00:00+00:00,40.44
2020-01-01 02:00:00+00:00,40.08
2020-01-01 03:00:00+00:00,31.44
2020-01-01 04:00:00+00:00,21.66
2020-01-01 05:00:00+00:00,14.46
2020-01-01 06:00:00+00:00,13.68
2020-01-01 07:00:00+00:00,10.38
2020-01-01 08:00:00+00:00,5.22
2020-01-01 09:00:00+00:00,3.66
2020-01-01 10:00:00+00:00,9.24
2020-01-01 11:00:00+00:00,11.34
2020-01-01 12:00:00+00:00,11.34
2020-01-01 13:00:00+00:00,15.36
2020-01-01 14:00:00+00:00,14.22
2020-01-01 15:00:00+00:00,12.42
2020-01-01 16:00:00+00:00,18.24
2020-01-01 17:00:00+00:00,19.2
2020-01-01 18:00:00+00:00,17.88
2020-01-01 19:00:00+00:00,12.24
2020-01-01 20:00:00+00:00,14.34
2020-01-01 21:00:00+00:00,13.68
2020-01-01 22:00:00+00:00,18.3
2020-01-01 23:00:00+00:00,19.08
2020-01-02 00:00:00+00:00,21.42
2020-01-02 01:00:00+00:00,15.9
2020-01-02 02:00:00+00:00,25.14
2020-01-02 03:00:00+00:00,25.08
2020-01-02 04:00:00+00:00,19.44
2020-01-02 05:00:00+00:00,18.72
2020-01-02 06:00:00+00:00,21.42
2020-01-02 07:00:00+00:00,23.76
2020-01-02 08:00:00+00:00,30.9
2020-01-02 09:00:00+00:00,31.92
2020-01-02 10:00:00+00:00,32.34
2020-01-02 11:00:00+00:00,41.34
2020-01-02 12:00:00+00:00,43.68
2020-01-02 13:00:00+00:00,40.38
2020-01-02 14:00:00+00:00,39.72
2020-01-02 15:00:00+00:00,39.9
2020-01-02 16:00:00+00:00,36.12
2020-01-02 17:00:00+00:00,36.96
2020-01-02 18:00:00+00:00,38.04
2020-01-02 19:00:00+00:00,36.66
2020-01-02 20:00:00+00:00,36.24
2020-01-02 21:00:00+00:00,41.46
2020-01-02 22:00:00+00:00,42.84
2020-01-02 23:00:00+00:00,41.34
2020-01-03 00:00:00+00:00,36.72
2020-01-03 01:00:00+00:00,41.1
2020-01-03 02:00:00+00:00,38.7
2020-01-03 03:00:00+00:00,37.92
2020-01-03 04:00:00+00:00,38.46
2020-01-03 05:00:00+00:00,36.36
2020-01-03 06:00:00+00:00,41.7
2020-01-03 07:00:00+00:00,38.04
2020-01-03 08:00:00+00:00,35.82
2020-01-03 09:00:00+00:00,34.08
2020-01-03 10:00:00+00:00,44.94
2020-01-03 11:00:00+00:00,54.18
2020-01-03 12:00:00+00:00,48.84
2020-01-03 13:00:00+00:00,39.9
2020-01-03 14:00:00+00:00,40.32
2020-01-03 15:00:00+00:00,36.72
2020-01-03 16:00:00+00:00,27.66
2020-01-03 17:00:00+00:00,21.72
2020-01-03 18:00:00+00:00,27.42
2020-01-03 19:00:00+00:00,25.8
2020-01-03 20:00:00+00:00,30.06
2020-01-03 21:00:00+00:00,31.38
2020-01-03 22:00:00+00:00,30.66
2020-01-03 23:00:00+00:00,30.48
2020-01-04 00:00:00+00:00,31.44
2020-01-04 01:00:00+00:00,27
2020-01-04 02:00:00+00:00,28.86
2020-01-04 03:00:00+00:00,30.12
2020-01-04 04:00:00+00:00,31.5
2020-01-04 05:00:00+00:00,31.08
2020-01-04 06:00:00+00:00,33.96
2020-01-04 07:00:00+00:00,33.36
2020-01-04 08:00:00+00:00,30.78
2020-01-04 09:00:00+00:00,30.96
2020-01-04 10:00:00+00:00,36.6
2020-01-04 11:00:00+00:00,40.2
2020-01-04 12:00:00+00:00,41.88
2020-01-04 13:00:00+00:00,42
2020-01-04 14:00:00+00:00,36.66
2020-01-04 15:00:00+00:00,33.12
2020-01-04 16:00:00+00:00,28.98
2020-01-04 17:00:00+00:00,22.62
2020-01-04 18:00:00+00:00,20.82
2020-01-04 19:00:00+00:00,19.44
2020-01-04 20:00:00+00:00,21.78
2020-01-04 21:00:00+00:00,21.66
2020-01-04 22:00:00+00:00,19.8
2020-01-04 23:00:00+00:00,19.08
2020-01-05 00:00:00+00:00,19.5
2020-01-05 01:00:00+00:00,18.66
2020-01-05 02:00:00+00:00,16.38
2020-01-05 03:00:00+00:00,18.72
2020-01-05 04:00:00+00:00,18
2020-01-05 05:00:00+00:00,18.42
2020-01-05 06:00:00+00:00,20.16
2020-01-05 07:00:00+00:00,20.34
2020-01-05 08:00:00+00:00,20.1
2020-01-05 09:00:00+00:00,23.52
2020-01-05 10:00:00+00:00,24.72
2020-01-05 11:00:00+00:00,25.98
2020-01-05 12:00:00+00:00,22.26
2020-01-05 13:00:00+00:00,25.38
2020-01-05 14:00:00+00:00,26.58
2020-01-05 15:00:00+00:00,24.78
2020-01-05 16:00:00+00:00,23.1
2020-01-05 17:00:00+00:00,23.04
2020-01-05 18:00:00+00:00,21.3
2020-01-05 19:00:00+00:00,22.68
2020-01-05 20:00:00+00:00,23.58
2020-01-05 21:00:00+00:00,20.82
2020-01-05 22:00:00+00:00,20.82
2020-01-05 23:00:00+00:00,20.7
2020-01-06 00:00:00+00:00,21.96
2020-01-06 01:00:00+00:00,24.48
2020-01-06 02:00:00+00:00,26.04
2020-01-06 03:00:00+00:00,27.78
2020-01-06 04:00:00+00:00,32.1
2020-01-06 05:00:00+00:00,35.58
2020-01-06 06:00:00+00:00,38.46
2020-01-06 07:00:00+00:00,35.22
2020-01-06 08:00:00+00:00,33.36
2020-01-06 09:00:00+00:00,39.06
2020-01-06 10:00:00+00:00,39.6
2020-01-06 11:00:00+00:00,48.24
2020-01-06 12:00:00+00:00,48.78
2020-01-06 13:00:00+00:00,41.4
2020-01-06 14:00:00+00:00,36
2020-01-06 15:00:00+00:00,34.74
2020-01-06 16:00:00+00:00,36.42
2020-01-06 17:00:00+00:00,31.98
2020-01-06 18:00:00+00:00,34.92
2020-01-06 19:00:00+00:00,34.5
2020-01-06 20:00:00+00:00,31.56
2020-01-06 21:00:00+00:00,30.06
2020-01-06 22:00:00+00:00,29.46
2020-01-06 23:00:00+00:00,26.28
2020-01-07 00:00:00+00:00,25.5
2020-01-07 01:00:00+00:00,22.5
2020-01-07 02:00:00+00:00,19.98
2020-01-07 03:00:00+00:00,20.7
2020-01-07 04:00:00+00:00,19.92
2020-01-07 05:00:00+00:00,21.18
2020-01-07 06:00:00+00:00,19.26
2020-01-07 07:00:00+00:00,21.72
2020-01-07 08:00:00+00:00,23.34
2020-01-07 09:00:00+00:00,24.36
2020-01-07 10:00:00+00:00,30.96
2020-01-07 11:00:00+00:00,32.88
2020-01-07 12:00:00+00:00,37.92
2020-01-07 13:00:00+00:00,44.4
2020-01-07 14:00:00+00:00,39.36
2020-01-07 15:00:00+00:00,36.54
2020-01-07 16:00:00+00:00,43.8
2020-01-07 17:00:00+00:00,53.04
2020-01-07 18:00:00+00:00,47.88
2020-01-07 19:00:00+00:00,42.9
2020-01-07 20:00:00+00:00,38.46
2020-01-07 21:00:00+00:00,49.26
2020-01-07 22:00:00+00:00,45.12
2020-01-07 23:00:00+00:00,43.44
2020-01-08 00:00:00+00:00,51
2020-01-08 01:00:00+00:00,49.8
2020-01-08 02:00:00+00:00,46.68
2020-01-08 03:00:00+00:00,37.08
2020-01-08 04:00:00+00:00,35.4
2020-01-08 05:00:00+00:00,30.24
2020-01-08 06:00:00+00:00,26.94
2020-01-08 07:00:00+00:00,30.78
2020-01-08 08:00:00+00:00,30.84
2020-01-08 09:00:00+00:00,27.78
2020-01-08 10:00:00+00:00,28.08
2020-01-08 11:00:00+00:00,27.24
2020-01-08 12:00:00+00:00,24.48
2020-01-08 13:00:00+00:00,24.24
2020-01-08 14:00:00+00:00,18.72
2020-01-08 15:00:00+00:00,12.78
2020-01-08 16:00:00+00:00,12
2020-01-08 17:00:00+00:00,8.64
2020-01-08 18:00:00+00:00,10.98
2020-01-08 19:00:00+00:00,10.56
2020-01-08 20:00:00+00:00,13.8
2020-01-08 21:00:00+00:00,23.04
2020-01-08 22:00:00+00:00,28.62
2020-01-08 23:00:00+00:00,30.72
2020-01-09 00:00:00+00:00,33.42
2020-01-09 01:00:00+00:00,42.66
2020-01-09 02:00:00+00:00,45.9
2020-01-09 03:00:00+00:00,51.96
2020-01-09 04:00:00+00:00,48.42
2020-01-09 05:00:00+00:00,46.98
2020-01-09 06:00:00+00:00,49.5
2020-01-09 07:00:00+00:00,56.34
2020-01-09 08:00:00+00:00,57.84
2020-01-09 09:00:00+00:00,64.62
2020-01-09 10:00:00+00:00,64.14
2020-01-09 11:00:00+00:00,56.16
2020-01-09 12:00:00+00:00,49.98
2020-01-09 13:00:00+00:00,40.86
2020-01-09 14:00:00+00:00,28.02
2020-01-09 15:00:00+00:00,25.8
2020-01-09 16:00:00+00:00,16.2
2020-01-09 17:00:00+00:00,15.3
2020-01-09 18:00:00+00:00,17.22
2020-01-09 19:00:00+00:00,29.94
2020-01-09 20:00:00+00:00,37.62
2020-01-09 21:00:00+00:00,31.44
2020-01-09 22:00:00+00:00,17.64
2020-01-09 23:00:00+00:00,18.36
2020-01-10 00:00:00+00:00,18.84
2020-01-10 01:00:00+00:00,25.02
2020-01-10 02:00:00+00:00,33.66
2020-01-10 03:00:00+00:00,39.12
2020-01-10 04:00:00+00:00,43.44
2020-01-10 05:00:00+00:00,39.72
2020-01-10 06:00:00+00:00,41.64
2020-01-10 07:00:00+00:00,40.32
2020-01-10 08:00:00+00:00,39.66
2020-01-10 09:00:00+00:00,36.36
2020-01-10 10:00:00+00:00,36.06
2020-01-10 11:00:00+00:00,33.84
2020-01-10 12:00:00+00:00,27.66
2020-01-10 13:00:00+00:00,25.56
2020-01-10 14:00:00+00:00,23.16
2020-01-10 15:00:00+00:00,18.48
2020-01-10 16:00:00+00:00,14.7
2020-01-10 17:00:00+00:00,16.5
2020-01-10 18:00:00+00:00,22.56
2020-01-10 19:00:00+00:00,20.46
2020-01-10 20:00:00+00:00,21.12
2020-01-10 21:00:00+00:00,22.26
2020-01-10 22:00:00+00:00,25.08
2020-01-10 23:00:00+00:00,29.1
2020-01-11 00:00:00+00:00,32.52
2020-01-11 01:00:00+00:00,35.28
2020-01-11 02:00:00+00:00,36.12
